"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","NEET","20_24","PC_AGE","A","2019",8.0662355,
"CHE","NEET","20_24","PC_AGE","A","2020",8.3903246,
"TUR","NEET","20_24","PC_AGE","A","2018",31.21693,
"TUR","NEET","20_24","PC_AGE","A","2019",33.295712,
"GBR","NEET","20_24","PC_AGE","A","2018",14.194826,
"GBR","NEET","20_24","PC_AGE","A","2019",13.591121,
"GBR","NEET","20_24","PC_AGE","A","2020",14.173528,
"USA","NEET","20_24","PC_AGE","A","2018",14.64871,
"USA","NEET","20_24","PC_AGE","A","2019",14.486988,
"USA","NEET","20_24","PC_AGE","A","2020",14.674225,
"CHL","NEET","20_24","PC_AGE","A","2020",26.108511,
"EST","NEET","20_24","PC_AGE","A","2018",12.211666,
"EST","NEET","20_24","PC_AGE","A","2019",10.77473,
"EST","NEET","20_24","PC_AGE","A","2020",13.714321,
"ISR","NEET","20_24","PC_AGE","A","2018",17.022766,
"ISR","NEET","20_24","PC_AGE","A","2019",18.177565,
"ISR","NEET","20_24","PC_AGE","A","2020",17.616419,
"SVN","NEET","20_24","PC_AGE","A","2018",12.027833,
"SVN","NEET","20_24","PC_AGE","A","2019",8.6841755,
"SVN","NEET","20_24","PC_AGE","A","2020",11.640663,
"OAVG","NEET","20_24","PC_AGE","A","2018",15.427958,
"OAVG","NEET","20_24","PC_AGE","A","2019",14.97879,
"OAVG","NEET","20_24","PC_AGE","A","2020",16.097354,
"LVA","NEET","20_24","PC_AGE","A","2018",14.020249,
"LVA","NEET","20_24","PC_AGE","A","2019",13.871192,
"LVA","NEET","20_24","PC_AGE","A","2020",16.77173,
"COL","NEET","20_24","PC_AGE","A","2018",26.30431,
"COL","NEET","20_24","PC_AGE","A","2019",27.456076,
"COL","NEET","20_24","PC_AGE","A","2020",34.88187,
"LTU","NEET","20_24","PC_AGE","A","2018",14.584582,
"LTU","NEET","20_24","PC_AGE","A","2019",14.473471,
"LTU","NEET","20_24","PC_AGE","A","2020",17.416395,
"CRI","NEET","20_24","PC_AGE","A","2018",24.943991,
"CRI","NEET","20_24","PC_AGE","A","2019",23.034515,
"CRI","NEET","20_24","PC_AGE","A","2020",21.085546,
