"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","EDUEXP","TRY","PC_GDP","A","2018",2.53243,
"USA","EDUEXP","TRY","PC_GDP","A","2019",2.49473,
"CHL","EDUEXP","TRY","PC_GDP","A","2016",2.712612,
"CHL","EDUEXP","TRY","PC_GDP","A","2017",2.585824,
"CHL","EDUEXP","TRY","PC_GDP","A","2018",2.386582,
"CHL","EDUEXP","TRY","PC_GDP","A","2019",2.688338,
"COL","EDUEXP","TRY","PC_GDP","A","2016",2.211281,
"COL","EDUEXP","TRY","PC_GDP","A","2017",1.647492,
"COL","EDUEXP","TRY","PC_GDP","A","2018",1.718866,
"COL","EDUEXP","TRY","PC_GDP","A","2019",1.396162,
"EST","EDUEXP","TRY","PC_GDP","A","2016",1.538525,
"EST","EDUEXP","TRY","PC_GDP","A","2017",1.484504,
"EST","EDUEXP","TRY","PC_GDP","A","2018",1.625259,
"EST","EDUEXP","TRY","PC_GDP","A","2019",1.475208,
"ISR","EDUEXP","TRY","PC_GDP","A","2016",1.465759,
"ISR","EDUEXP","TRY","PC_GDP","A","2017",1.367019,
"ISR","EDUEXP","TRY","PC_GDP","A","2018",1.4389,
"ISR","EDUEXP","TRY","PC_GDP","A","2019",1.442914,
"LVA","EDUEXP","TRY","PC_GDP","A","2016",1.031705,
"LVA","EDUEXP","TRY","PC_GDP","A","2017",1.048972,
"LVA","EDUEXP","TRY","PC_GDP","A","2018",1.194536,
"LVA","EDUEXP","TRY","PC_GDP","A","2019",1.343257,
"SVN","EDUEXP","TRY","PC_GDP","A","2016",1.032997,
"SVN","EDUEXP","TRY","PC_GDP","A","2017",1.034067,
"SVN","EDUEXP","TRY","PC_GDP","A","2018",1.030947,
"SVN","EDUEXP","TRY","PC_GDP","A","2019",1.056218,
"NOR","EDUEXP","TRY","PC_GDP","A","2016",1.924564,
"NOR","EDUEXP","TRY","PC_GDP","A","2017",1.953116,
"NOR","EDUEXP","TRY","PC_GDP","A","2018",1.960703,
"NOR","EDUEXP","TRY","PC_GDP","A","2019",1.949784,
"LTU","EDUEXP","TRY","PC_GDP","A","2016",1.100549,
"LTU","EDUEXP","TRY","PC_GDP","A","2017",1.034123,
"LTU","EDUEXP","TRY","PC_GDP","A","2018",1.078508,
"LTU","EDUEXP","TRY","PC_GDP","A","2019",1.080541,
